timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 14:51:26.629647,st. louis,Clouds,overcast clouds,86.79,63,1012,11.25,212,96
2026-06-06 14:51:27.793525,beijing,Clear,clear sky,58.37,72,1012,0.36,346,0
2026-06-06 14:51:28.969515,shanghai,Clouds,few clouds,71.06,78,1006,1.99,65,17
2026-06-06 14:51:30.116172,chicago,Clouds,scattered clouds,76.77,68,1010,8.99,44,48
2026-06-06 14:51:31.280320,seoul,Clouds,overcast clouds,69.08,44,1010,4.7,62,100
2026-06-06 14:51:32.436480,berlin,Clouds,overcast clouds,66.94,59,1016,5.14,150,100
2026-06-06 14:51:33.609386,mumbai,Clouds,overcast clouds,87.82,68,1006,7.54,297,100
2026-06-06 14:51:34.782687,kansas city,Clouds,overcast clouds,83.41,69,1011,8.01,180,100
2026-06-06 14:51:35.940692,detroit,Clear,clear sky,85.42,56,1009,13.15,290,8
2026-06-06 14:52:49.304990,paris,Clouds,overcast clouds,62.74,62,1017,5.01,0,85
2026-06-06 14:54:49.301113,paris,Clouds,overcast clouds,62.74,62,1017,5.01,0,85
2026-06-06 14:56:49.307800,paris,Clouds,overcast clouds,62.74,62,1017,5.01,0,85
2026-06-06 14:58:49.299886,paris,Clouds,overcast clouds,62.74,62,1017,5.01,0,85
2026-06-06 15:00:49.305239,paris,Clouds,overcast clouds,63.09,61,1017,5.01,0,85
2026-06-06 15:02:49.302944,paris,Clouds,overcast clouds,63.09,61,1017,5.01,0,85
2026-06-06 15:04:49.480038,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:06:49.303284,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:08:49.315004,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:10:49.301556,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
2026-06-06 15:11:45.169860,new york,Clouds,broken clouds,89.74,42,1007,17,183,51
2026-06-06 15:11:46.323939,los angeles,Clouds,overcast clouds,73.69,66,1011,8.3,186,100
2026-06-06 15:11:47.486509,san francisco,Clouds,overcast clouds,61.7,61,1011,11.01,248,96
2026-06-06 15:11:48.658891,boston,Clouds,overcast clouds,84.85,52,1006,5.99,183,100
2026-06-06 15:11:49.786158,toronto,Clouds,scattered clouds,75.79,60,1007,10,275,31
2026-06-06 15:11:50.948725,mexico city,Clouds,overcast clouds,77.43,36,1009,4.59,125,100
2026-06-06 15:11:52.109130,london,Clouds,overcast clouds,57.16,86,1009,11.99,289,100
2026-06-06 15:11:53.264282,paris,Clouds,overcast clouds,62.96,62,1017,5.01,0,85
